                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.86581,                0.72525,                 1.0494,                0.90985,                0.77777,                0.86971,                0.71488,                  0.775,                0.57204,                0.94787,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.84277,                 0.7136,                 1.0288,                0.93091,                0.77129,                0.86934,                0.71628,                0.77357,                0.57029,                0.94737,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.90417,                0.76207,                 1.0525,                 0.9263,                0.77293,                0.86815,                0.71374,                0.77204,                0.56747,                 0.9455,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.89429,                0.75874,                  1.061,                0.91538,                0.77628,                0.86774,                0.71452,                0.76852,                0.56407,                0.94371,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.84521,                0.75977,                 1.0546,                0.91712,                0.77918,                0.87127,                0.71462,                0.76451,                0.56024,                0.94157,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.84802,                0.71352,                 1.0365,                0.89921,                0.79101,                0.87127,                0.71816,                0.76138,                 0.5574,                0.93996,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.85612,                0.75952,                 1.0517,                0.89847,                0.79428,                0.87102,                0.71854,                 0.7586,                0.55696,                0.93921,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.86852,                 0.7275,                 1.0328,                0.90805,                0.78869,                0.87242,                0.71869,                0.75265,                0.55649,                0.93666,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.86285,                0.71771,                 1.0577,                0.91138,                0.78994,                0.87237,                0.72003,                0.74856,                0.55458,                0.93475,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.86452,                0.72357,                 1.0337,                0.92144,                0.79143,                0.87529,                0.72313,                0.74839,                0.55058,                0.93512,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.88227,                0.71509,                 1.0493,                0.91257,                0.79686,                0.87606,                0.72446,                0.74622,                0.54727,                0.93391,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.85441,                0.72063,                 1.0429,                0.91033,                0.79835,                0.87525,                0.72522,                0.74065,                0.54315,                0.93303,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 0.8495,                 0.7334,                 1.0288,                0.90739,                 0.8037,                  0.878,                0.72774,                0.73447,                0.53956,                0.93077,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                 0.8514,                0.70468,                  1.043,                0.91288,                0.80139,                  0.879,                0.72947,                0.73234,                0.53794,                0.92969,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83495,                0.70857,                 1.0267,                0.90878,                0.80496,                0.87959,                0.73079,                0.73123,                0.53711,                0.92926,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.85367,                0.72336,                  1.049,                0.92059,                 0.7957,                0.88048,                0.73142,                0.72936,                0.53678,                0.92795,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 0.8917,                0.75714,                 1.0417,                0.91312,                0.80191,                0.88183,                0.73346,                0.72884,                0.53542,                 0.9276,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.89167,                0.73752,                 1.0421,                0.90697,                0.80622,                0.88123,                0.73311,                0.72806,                0.53461,                0.92659,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.85386,                0.71606,                  1.037,                0.90666,                0.81318,                0.88193,                0.73578,                0.72572,                0.53386,                0.92505,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.83534,                0.70956,                 1.0292,                0.91036,                0.80563,                0.88247,                0.73564,                0.72382,                0.53291,                0.92425,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.82757,                 0.7002,                 1.0199,                0.91736,                0.80151,                0.88336,                0.73575,                0.72281,                0.53328,                0.92374,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.81746,                0.69237,                 1.0174,                0.91264,                0.80627,                 0.8829,                 0.7377,                0.72171,                0.53056,                 0.9233,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.87531,                0.74316,                 1.0375,                0.92336,                0.79901,                0.88095,                0.73707,                0.72058,                0.52954,                0.92224,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85244,                0.69891,                 1.0364,                0.92271,                0.79967,                0.88127,                0.73724,                0.71928,                0.52769,                0.92159,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.84509,                0.71704,                 1.0306,                0.92467,                0.79895,                0.88237,                0.73866,                0.71759,                0.52473,                 0.9214,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.88838,                0.73903,                 1.0474,                 0.9306,                0.79795,                0.88258,                0.73907,                0.71671,                0.52345,                0.92123,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.79344,                0.66341,                 1.0243,                0.93149,                0.79751,                0.88267,                0.73741,                0.71617,                0.52368,                0.92086,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 0.8268,                0.67638,                 1.0134,                0.93059,                0.79778,                0.88307,                0.73837,                0.71567,                0.52376,                0.92031,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.85155,                0.69566,                 1.0303,                0.92324,                0.79986,                 0.8836,                0.73733,                0.71525,                0.52347,                0.91966,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.86994,                0.75002,                 1.0504,                0.92131,                0.80082,                0.88426,                0.73905,                0.71431,                0.52225,                 0.9193,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.86999,                0.70718,                 1.0515,                 0.9195,                0.80124,                0.88512,                0.73929,                 0.7145,                0.52173,                  0.919,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.82686,                0.66873,                 1.0114,                0.91923,                0.80083,                0.88357,                0.73765,                0.71447,                0.52091,                0.91884,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.81957,                0.68715,                  1.032,                0.92311,                0.79948,                0.88372,                0.73801,                0.71311,                 0.5178,                0.91826,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.81322,                0.66586,                 1.0269,                0.92658,                0.79681,                0.88403,                0.73813,                0.71145,                0.51632,                0.91773,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 0.8154,                0.65354,                 1.0225,                0.92791,                0.79652,                0.88347,                0.73776,                0.71172,                  0.516,                0.91739,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.83352,                0.69272,                 1.0423,                0.92115,                0.80073,                0.88395,                0.73787,                 0.7121,                0.51611,                0.91715,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                 0.8365,                0.70412,                 1.0197,                0.92884,                0.79763,                 0.8827,                0.73902,                0.71192,                0.51699,                0.91708,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.85914,                  0.758,                 1.0195,                0.92926,                0.79194,                0.88304,                 0.7381,                 0.7186,                 0.5226,                0.91811,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.84822,                0.69988,                0.99795,                0.89528,                0.80534,                0.88256,                 0.7347,                0.72371,                0.52783,                0.91989,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.88828,                0.73004,                 1.0254,                0.87372,                0.81324,                0.88137,                  0.728,                0.72893,                0.53476,                0.92167,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.85496,                0.71706,                 1.0159,                0.85949,                0.81618,                0.87724,                0.72502,                  0.734,                0.54054,                0.92371,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.86538,                0.73431,                 1.0281,                0.84893,                0.81928,                0.87571,                0.72231,                0.73821,                0.54398,                0.92519,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.84346,                0.67528,                0.99206,                0.84439,                0.82164,                0.87634,                0.72206,                0.73978,                0.54566,                0.92575,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.84099,                0.70146,                0.99942,                0.82731,                0.82851,                0.87457,                0.71901,                0.74337,                0.54912,                0.92657,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.83672,                0.65855,                 1.0102,                0.89378,                 0.7897,                0.87498,                0.72091,                0.74348,                0.55108,                0.92637,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.79663,                  0.661,                0.97597,                0.89656,                0.78809,                0.87442,                0.72419,                0.74459,                0.55241,                0.92645,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                 0.8165,                  0.656,                0.99673,                0.89372,                0.78945,                0.87444,                0.72145,                0.74493,                0.55382,                0.92641,             3.5462e-06,             3.5462e-06,             3.5462e-06
